"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2023","2,337.26","2,298.28","2,337.37","2,298.28","1.50B","1.98%"
"03/20/2023","2,291.92","2,291.39","2,317.64","2,280.14","1.75B","-0.08%"
"03/17/2023","2,293.67","2,320.20","2,324.83","2,289.28","1.65B","-0.36%"
"03/16/2023","2,302.05","2,320.38","2,333.31","2,298.44","1.34B","-1.52%"
"03/15/2023","2,337.46","2,359.22","2,375.28","2,335.59","1.13B","-0.24%"
"03/14/2023","2,343.11","2,353.21","2,356.90","2,309.03","13.34K","-0.59%"
"03/13/2023","2,357.07","2,359.72","2,374.97","2,345.99","1.23B","-0.56%"
"03/10/2023","2,370.36","2,366.59","2,388.61","2,354.02","1.16B","-0.10%"
"03/09/2023","2,372.68","2,377.97","2,386.90","2,365.86","1.07B","-0.21%"
"03/08/2023","2,377.58","2,375.87","2,390.07","2,366.25","989.18M","-0.26%"
"03/07/2023","2,383.73","2,423.03","2,430.64","2,383.50","1.30B","-1.97%"
"03/06/2023","2,431.56","2,421.42","2,435.90","2,393.92","1.28B","0.38%"
"03/03/2023","2,422.44","2,423.67","2,434.12","2,405.30","1.11B","0.16%"
"03/02/2023","2,418.60","2,438.58","2,442.19","2,415.12","1.28B","-1.04%"
"03/01/2023","2,443.95","2,428.10","2,449.44","2,415.95","1.37B","0.61%"
"02/28/2023","2,429.03","2,417.58","2,432.32","2,407.76","1.08B","0.80%"
"02/27/2023","2,409.79","2,416.43","2,432.39","2,403.65","1.04B","-0.79%"
"02/24/2023","2,428.94","2,457.53","2,458.29","2,425.66","1.17B","-1.16%"
"02/23/2023","2,457.48","2,450.96","2,470.40","2,446.41","1.17B","0.23%"
"02/22/2023","2,451.90","2,452.39","2,470.50","2,446.19","1.02B","-0.73%"
"02/21/2023","2,469.81","2,473.60","2,480.35","2,452.84","1.18B","-0.44%"
"02/20/2023","2,480.79","2,445.64","2,481.57","2,424.63","1.41B","1.28%"
"02/17/2023","2,449.35","2,508.26","2,513.21","2,449.35","1.41B","-2.51%"
"02/16/2023","2,512.50","2,549.43","2,567.29","2,495.16","1.78B","-1.36%"
"02/15/2023","2,547.20","2,564.54","2,574.58","2,543.64","1.47B","-0.70%"
"02/14/2023","2,565.15","2,585.97","2,586.18","2,551.47","1.26B","-0.31%"
"02/13/2023","2,573.18","2,546.14","2,576.04","2,540.85","1.45B","1.10%"
"02/10/2023","2,545.16","2,567.09","2,571.20","2,531.87","1.36B","-0.96%"
"02/09/2023","2,569.73","2,520.83","2,569.99","2,515.51","1.44B","1.74%"
"02/08/2023","2,525.88","2,542.24","2,550.37","2,522.53","1.19B","-0.48%"
"02/07/2023","2,537.97","2,551.13","2,557.38","2,522.55","1.27B","-0.24%"
"02/06/2023","2,544.09","2,560.46","2,560.46","2,523.71","1.40B","-1.40%"
"02/03/2023","2,580.11","2,592.84","2,606.00","2,551.83","1.28B","-0.85%"
"02/02/2023","2,602.32","2,619.79","2,631.86","2,598.12","1.58B","-0.44%"
"02/01/2023","2,613.69","2,592.45","2,613.69","2,572.33","1.55B","1.27%"
"01/31/2023","2,580.84","2,608.12","2,618.28","2,575.53","1.47B","-1.26%"
"01/30/2023","2,613.89","2,657.39","2,661.28","2,611.13","2.03B","1.08%"
"01/20/2023","2,585.96","2,580.27","2,588.89","2,571.83","1.16B","0.56%"
"01/19/2023","2,571.44","2,539.89","2,571.44","2,531.96","1.16B","1.08%"
"01/18/2023","2,543.90","2,548.70","2,555.69","2,534.43","999.48M","-0.07%"
"01/17/2023","2,545.55","2,540.57","2,556.64","2,535.18","1.14B","0.24%"
"01/16/2023","2,539.52","2,490.72","2,566.69","2,490.72","1.86B","1.86%"
"01/13/2023","2,493.13","2,475.14","2,493.13","2,462.87","1.27B","1.41%"
"01/12/2023","2,458.49","2,455.73","2,477.01","2,448.76","1.07B","0.51%"
"01/11/2023","2,445.97","2,470.64","2,480.16","2,442.73","1.26B","-1.13%"
"01/10/2023","2,474.01","2,441.50","2,478.89","2,435.19","1.30B","1.38%"
"01/09/2023","2,440.37","2,433.35","2,455.60","2,427.81","1.38B","0.75%"
"01/06/2023","2,422.14","2,392.65","2,442.23","2,391.33","1.35B","0.95%"
"01/05/2023","2,399.46","2,343.78","2,405.43","2,343.72","1.57B","2.76%"
"01/04/2023","2,335.12","2,347.00","2,352.33","2,323.72","1.17B","-0.90%"
"01/03/2023","2,356.42","2,339.98","2,361.55","2,312.31","1.30B","0.41%"
"12/30/2022","2,346.77","2,361.97","2,369.14","2,346.77","870.80M","-0.11%"
"12/29/2022","2,349.38","2,328.73","2,365.69","2,327.69","900.58M","0.48%"
"12/28/2022","2,338.26","2,346.04","2,348.85","2,323.48","939.73M","-0.90%"
"12/27/2022","2,359.50","2,335.57","2,363.15","2,326.31","1.07B","1.20%"
"12/26/2022","2,331.41","2,290.26","2,334.98","2,290.16","957.88M","1.98%"
"12/23/2022","2,286.19","2,282.32","2,301.62","2,273.04","879.72M","-0.40%"
"12/22/2022","2,295.32","2,318.71","2,328.71","2,288.52","1.03B","-0.36%"
"12/21/2022","2,303.70","2,312.52","2,322.52","2,293.58","858.09M","-0.31%"
"12/20/2022","2,310.80","2,340.51","2,340.73","2,308.57","898.19M","-1.53%"
"12/19/2022","2,346.70","2,372.93","2,389.30","2,337.40","1.19B","-1.14%"
"12/16/2022","2,373.72","2,381.68","2,390.66","2,361.89","1.02B","-1.06%"
"12/15/2022","2,399.12","2,365.23","2,399.36","2,363.34","1.11B","1.31%"
"12/14/2022","2,368.08","2,384.70","2,391.21","2,362.61","1.21B","-0.34%"
"12/13/2022","2,376.20","2,403.74","2,403.94","2,371.08","12.92K","-1.05%"
"12/12/2022","2,401.52","2,409.44","2,418.06","2,399.69","1.33B","-0.79%"
"12/09/2022","2,420.63","2,412.16","2,421.65","2,391.67","1.70B","0.37%"
"12/08/2022","2,411.81","2,411.80","2,423.16","2,398.21","1.30B","-0.09%"
"12/07/2022","2,414.04","2,382.56","2,432.11","2,382.56","1.51B","0.87%"
"12/06/2022","2,393.28","2,366.11","2,414.20","2,365.69","1.58B","0.68%"
"12/05/2022","2,377.11","2,391.10","2,394.43","2,366.12","1.75B","-0.26%"
"12/02/2022","2,383.32","2,378.40","2,408.74","2,369.31","1.26B","0.09%"
"12/01/2022","2,381.18","2,386.08","2,403.77","2,380.67","1.76B","1.53%"
"11/30/2022","2,345.31","2,335.95","2,348.16","2,323.19","1.32B","0.24%"
"11/29/2022","2,339.79","2,301.21","2,347.71","2,298.31","1.58B","1.78%"
"11/28/2022","2,298.80","2,264.83","2,300.95","2,261.05","1.13B","-0.46%"
"11/25/2022","2,309.36","2,325.57","2,327.28","2,304.98","947.76M","-1.12%"
"11/24/2022","2,335.52","2,349.27","2,356.67","2,330.37","996.35M","-0.21%"
"11/23/2022","2,340.34","2,338.86","2,357.00","2,302.99","1.25B","-0.14%"
"11/22/2022","2,343.55","2,380.71","2,382.14","2,334.47","1.40B","-1.83%"
"11/21/2022","2,387.30","2,369.76","2,389.64","2,360.85","1.46B","-0.10%"
"11/18/2022","2,389.76","2,394.31","2,420.38","2,384.65","1.65B","0.16%"
"11/17/2022","2,385.86","2,389.46","2,389.46","2,351.00","1.51B","-0.71%"
"11/16/2022","2,402.91","2,427.41","2,443.79","2,399.70","1.76B","-1.19%"
"11/15/2022","2,431.73","2,373.99","2,432.46","2,356.35","2.04B","2.38%"
"11/14/2022","2,375.21","2,406.87","2,418.52","2,364.44","1.83B","-1.25%"
"11/11/2022","2,405.32","2,443.11","2,446.09","2,402.94","2.32B","2.04%"
"11/10/2022","2,357.13","2,380.23","2,393.61","2,344.68","1.52B","-1.76%"
"11/09/2022","2,399.34","2,422.17","2,432.29","2,398.07","1.15B","-1.36%"
"11/08/2022","2,432.40","2,452.86","2,460.99","2,411.72","1.34B","-0.91%"
"11/07/2022","2,454.69","2,447.13","2,470.64","2,432.05","1.66B","0.14%"
"11/04/2022","2,451.22","2,378.42","2,464.51","2,377.91","2.04B","3.16%"
"11/03/2022","2,376.06","2,352.56","2,385.06","2,349.75","1.52B","0.01%"
"11/02/2022","2,375.86","2,322.98","2,396.21","2,320.55","2.25B","1.63%"
"11/01/2022","2,337.65","2,270.04","2,337.82","2,251.80","1.97B","3.20%"
