"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2022","3,197.35","3,196.02","3,206.72","3,187.26","32.10B","-0.07%"
"12/07/2022","3,199.62","3,204.94","3,226.08","3,188.67","35.41B","-0.40%"
"12/06/2022","3,212.53","3,200.27","3,224.82","3,195.08","37.36B","0.02%"
"12/05/2022","3,211.81","3,181.92","3,213.44","3,177.06","44.74B","1.76%"
"12/02/2022","3,156.14","3,160.58","3,170.90","3,149.84","30.78B","-0.29%"
"12/01/2022","3,165.47","3,187.99","3,198.41","3,164.53","38.70B","0.45%"
"11/30/2022","3,151.34","3,141.40","3,158.57","3,137.37","37.27B","0.05%"
"11/29/2022","3,149.75","3,096.11","3,152.00","3,096.11","39.15B","2.31%"
"11/28/2022","3,078.55","3,055.29","3,080.18","3,034.70","30.58B","-0.75%"
"11/25/2022","3,101.69","3,085.46","3,111.42","3,077.97","31.14B","0.40%"
"11/24/2022","3,089.31","3,104.10","3,113.24","3,084.86","26.75B","-0.25%"
"11/23/2022","3,096.91","3,084.74","3,108.24","3,075.32","32.62B","0.26%"
"11/22/2022","3,088.94","3,084.23","3,118.12","3,076.32","32.76B","0.13%"
"11/21/2022","3,085.04","3,078.06","3,085.24","3,056.17","25.60B","-0.39%"
"11/18/2022","3,097.24","3,116.73","3,126.71","3,096.89","30.00B","-0.58%"
"11/17/2022","3,115.43","3,110.96","3,115.44","3,087.17","28.70B","-0.15%"
"11/16/2022","3,119.98","3,133.65","3,145.75","3,115.35","30.34B","-0.45%"
"11/15/2022","3,134.08","3,081.14","3,135.59","3,074.50","33.15B","1.64%"
"11/14/2022","3,083.40","3,100.87","3,121.41","3,075.22","36.18B","-0.13%"
"11/11/2022","3,087.29","3,099.65","3,117.74","3,070.30","40.96B","1.69%"
"11/10/2022","3,036.13","3,031.69","3,047.98","3,022.85","27.04B","-0.39%"
"11/09/2022","3,048.17","3,064.46","3,073.92","3,046.19","23.56B","-0.53%"
"11/08/2022","3,064.49","3,077.31","3,078.28","3,047.46","25.65B","-0.43%"
"11/07/2022","3,077.82","3,062.86","3,088.19","3,054.46","32.06B","0.23%"
"11/04/2022","3,070.80","2,997.00","3,081.59","2,997.00","32.98B","2.43%"
"11/03/2022","2,997.81","2,981.20","3,003.72","2,977.72","25.93B","-0.19%"
"11/02/2022","3,003.37","2,960.65","3,019.05","2,954.95","32.51B","1.15%"
"11/01/2022","2,969.20","2,899.50","2,969.20","2,896.76","31.98B","2.62%"
