"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2022","11,358.11","11,306.79","11,371.18","11,269.61","9.22B","0.32%"
"12/14/2022","11,321.81","11,341.96","11,375.22","11,298.43","9.89B","-0.02%"
"12/13/2022","11,323.70","11,398.84","11,399.16","11,312.10","100.51K","-0.66%"
"12/12/2022","11,399.13","11,453.26","11,457.09","11,392.89","12.02B","-0.89%"
"12/09/2022","11,501.58","11,397.10","11,511.32","11,360.15","14.85B","0.98%"
"12/08/2022","11,389.79","11,403.19","11,429.77","11,343.57","11.60B","-0.25%"
"12/07/2022","11,418.76","11,365.98","11,504.39","11,358.68","13.00B","0.17%"
"12/06/2022","11,398.82","11,278.49","11,465.41","11,264.47","13.50B","0.67%"
"12/05/2022","11,323.34","11,292.34","11,338.86","11,250.62","15.76B","0.92%"
"12/02/2022","11,219.79","11,238.44","11,312.32","11,206.78","11.67B","-0.39%"
"12/01/2022","11,264.16","11,282.46","11,350.48","11,262.81","15.68B","1.40%"
"11/30/2022","11,108.50","11,071.31","11,140.50","11,044.03","15.35B","0.18%"
"11/29/2022","11,089.01","10,891.72","11,112.73","10,888.54","15.33B","2.40%"
"11/28/2022","10,829.08","10,708.56","10,833.27","10,657.89","11.01B","-0.69%"
"11/25/2022","10,904.27","10,928.15","10,962.14","10,881.08","10.32B","-0.48%"
"11/24/2022","10,956.68","11,019.47","11,061.36","10,927.85","9.58B","-0.15%"
"11/23/2022","10,972.81","10,971.00","11,025.48","10,842.59","10.44B","-0.27%"
"11/22/2022","11,002.93","11,113.32","11,152.00","10,960.88","11.32B","-1.18%"
"11/21/2022","11,134.47","11,086.69","11,137.63","11,014.96","11.57B","-0.41%"
"11/18/2022","11,180.43","11,229.11","11,310.22","11,171.19","13.95B","-0.37%"
"11/17/2022","11,221.45","11,199.62","11,221.45","11,077.59","12.48B","-0.13%"
"11/16/2022","11,235.56","11,336.07","11,385.87","11,220.33","13.39B","-1.02%"
"11/15/2022","11,351.33","11,100.23","11,351.33","11,069.15","16.11B","2.14%"
"11/14/2022","11,113.46","11,177.07","11,260.86","11,067.89","16.61B","-0.24%"
"11/11/2022","11,139.77","11,217.11","11,272.16","11,085.93","18.29B","2.12%"
"11/10/2022","10,908.55","10,964.94","10,979.71","10,848.48","11.45B","-1.33%"
"11/09/2022","11,055.29","11,149.37","11,185.51","11,049.33","10.50B","-0.79%"
"11/08/2022","11,142.93","11,202.44","11,212.54","11,055.08","10.84B","-0.58%"
"11/07/2022","11,207.73","11,184.16","11,272.80","11,127.25","13.70B","0.18%"
"11/04/2022","11,187.43","10,848.30","11,226.21","10,848.30","15.15B","3.20%"
"11/03/2022","10,840.06","10,766.22","10,877.74","10,754.29","11.25B","-0.34%"
"11/02/2022","10,877.51","10,704.25","10,951.45","10,687.21","14.37B","1.33%"
"11/01/2022","10,734.25","10,420.95","10,734.25","10,395.56","13.70B","3.24%"
